X0Y1,Defect,StrainRate,Temperature,FractureStrain,FractureStrength,YoungsModulus
1,0,0.001,300,0.1992,107.958204,871.162349
1,0,0.001,600,0.1476,92.104583,870.391309
1,0,0.001,600,0.1541,94.133931,871.835424
1,0,0.001,600,0.1542,94.383736,869.989725
1,0,0.001,600,0.1552,94.403465,866.211346
1,0,0.001,600,0.1527,93.796121,869.997203
1,0,0.0025,1,0.28125,119.392203,843.828935
1,0,0.0025,1,0.28175,119.39849,843.753893
1,0,0.0025,1,0.2825,119.409424,843.762618
1,0,0.0025,1,0.2825,119.409857,843.748535
1,0,0.0025,1,0.2825,119.417595,843.779311
1,0,0.0025,10,0.2665,118.78189,840.585434
1,0,0.0025,10,0.2685,118.840574,840.859782
1,0,0.0025,10,0.2655,118.749089,840.759725
1,0,0.0025,10,0.2665,118.778829,840.642311
1,0,0.0025,10,0.26675,118.798024,840.982913
1,0,0.0025,100,0.23275,115.096802,849.378937
1,0,0.0025,100,0.23675,115.484308,845.502394
1,0,0.0025,100,0.23625,115.409115,844.164708
1,0,0.0025,100,0.228,114.499041,850.035713
1,0,0.0025,100,0.23175,114.948118,848.547754
1,0,0.0025,1200,0.1065,71.53683,837.763826
1,0,0.0025,1200,0.11,73.252708,845.250982
1,0,0.0025,1200,0.114,74.963257,845.934585
1,0,0.0025,1200,0.11125,74.303107,859.471041
1,0,0.0025,1200,0.118,76.59033,853.881591
1,0,0.0025,300,0.19925,107.986294,863.147094
1,0,0.0025,300,0.20475,109.117822,862.664453
1,0,0.0025,300,0.19625,107.333626,861.815644
1,0,0.0025,300,0.1995,108.22067,875.374113
1,0,0.0025,300,0.204,108.746552,866.795334
1,0,0.0025,600,0.1685,98.475143,870.376093
1,0,0.0025,600,0.16075,96.049977,877.485062
1,0,0.0025,600,0.16525,97.595527,871.843217
1,0,0.0025,600,0.15825,95.179856,879.548605
1,0,0.0025,600,0.16525,97.569466,877.662306
0,1,0.00005,1,0.100875,80.684871,971.978244
0,1,0.00005,1,0.10089,80.68549,971.901404
0,1,0.00005,1,0.10079,80.644112,971.872735
0,1,0.00005,1,0.10085,80.674194,971.895991
0,1,0.00005,1,0.100905,80.691564,971.854733
0,1,0.00005,10,0.100735,80.558524,969.215121
0,1,0.00005,10,0.10072,80.540542,968.972732
0,1,0.00005,10,0.1006,80.464912,968.772453
0,1,0.00005,10,0.100595,80.472248,969.097097
0,1,0.00005,10,0.1006,80.492672,969.246427
0,1,0.00005,100,0.097735,78.384393,959.282842
0,1,0.00005,100,0.097835,78.339661,958.365761
0,1,0.00005,100,0.09909,79.108717,958.03156
0,1,0.00005,100,0.09939,79.353344,961.544757
0,1,0.00005,100,0.09872,78.821204,956.905949
0,1,0.00005,1200,0.0683,54.873701,860.86822
